No,場所,詳細場所
1,ローレシアの町の東の崩壊した建物,ローレシアの町の東の崩壊した建物
2,ローレシア城内教会,ローレシア城内教会
3,ローレシアの南の島にあるひみつの場所,ローレシアの南の島にあるひみつの場所
4,ローレシアの南の海の上にあるひみつの場所,ローレシアの南の海の上にあるひみつの場所
5,リリザの武器防具屋,リリザの武器防具屋
6,リリザ南東のひみつのばしょ,リリザ南東のひみつのばしょ
7,サマルトリアの東の民家のタンス,サマルトリアの東の民家のタンス
8,サマルトリア城の地下1階の樽,サマルトリア城の地下1階の樽
9,サマルトリア南西の砂漠にあるひみつのばしょ,サマルトリア南西の砂漠にあるひみつのばしょ
10,ローラの門の地下通路,ローラの門の地下通路
11,妖精の城の3階,妖精の城の3階
12,妖精の城南東のひみつのばしょ,妖精の城南東のひみつのばしょ
13,湖の洞窟地下2階,湖の洞窟地下2階
14,ムーンペタの教会横の木の近くの樽,ムーンペタの教会横の木の近くの樽
15,ムーンペタの西の島にあるひみつの場所,ムーンペタの西の島にあるひみつの場所
16,ムーンブルク城1階,ムーンブルク城1階
17,ラーのほこらの南西のひみつのばしょ,ラーのほこらの南西のひみつのばしょ
18,風の塔2階,風の塔2階
19,風の塔7階,風の塔7階
20,ムーンブルク西のほこら,ムーンブルク西のほこら
21,オアシス,オアシス
22,ドラゴンの角・南の6階,ドラゴンの角・南の6階
23,ドラゴンの角・北の6階,ドラゴンの角・北の6階
24,ドラゴンの角・南の南東の海の上にあるひみつの場所,ドラゴンの角・南の南東の海の上にあるひみつの場所
25,ルプガナの宿屋,ルプガナの宿屋
26,メダル王の城の外観1,メダル王の城の外観1
27,メダル王の城の外観2,メダル王の城の外観2
28,メダル王の城の外観3,メダル王の城の外観3
29,メダル王の城の外観4,メダル王の城の外観4
30,メダル王の城の外観5,メダル王の城の外観5
31,ラダトームの宿屋,ラダトームの宿屋
32,ラダトームの城2階,ラダトームの城2階
33,ロトの洞窟地下2階,ロトの洞窟地下2階
34,雨のほこら5階,雨のほこら5階
35,雨のほこらの北のひみつの場所,雨のほこらの北のひみつの場所
36,ガライ,ガライ
37,ガライの墓地下3階,ガライの墓地下3階
38,マイラの井戸,マイラの井戸
39,ドムドーラの南東の砂漠にあるひみつの場所,ドムドーラの南東の砂漠にあるひみつの場所
40,メルキド,メルキド
41,リムルダールの教会,リムルダールの教会
42,聖なるほこら,聖なるほこら
43,竜王の城1階,竜王の城1階
44,竜王の城地下5階,竜王の城地下5階
45,竜王の城地下6階,竜王の城地下6階
46,大灯台7階,大灯台7階
47,ベラヌールの民家,ベラヌールの民家
48,ベラヌール北のほこら,ベラヌール北のほこら
49,ペルポイの自警団本部,ペルポイの自警団本部
50,ペルポイの町の北西のひみつの場所,ペルポイの町の北西のひみつの場所
51,世界樹の森,世界樹の森
52,ザハン,ザハン
53,舟守のほこら,舟守のほこら
54,デルコンダル城,デルコンダル城
55,テパの民家,テパの民家
56,テパの西の水辺のひみつの場所,テパの西の水辺のひみつの場所
57,テパ東のほこら,テパ東のほこら
58,満月の塔3階,満月の塔3階
59,アルメハの女王の広場,アルメハの女王の広場
60,なぞの海底基地の地下1階,なぞの海底基地の地下1階
61,海底火山の洞窟の地下3階,海底火山の洞窟の地下3階
62,沈没船の地下1階,沈没船の地下1階
63,ヌシのすみか・北海,ヌシのすみか・北海
64,ヌシのすみか・東海,ヌシのすみか・東海
65,ヌシのすみか・南海,ヌシのすみか・南海
66,ロンダルキアへの洞窟の4階,ロンダルキアへの洞窟の4階
67,ロンダルキアへの洞窟の5階から行くマップなしエリア,ロンダルキアへの洞窟の5階から行くマップなしエリア
68,ロンダルキアのほこらの北にあるひみつの場所,ロンダルキアのほこらの北にあるひみつの場所
69,雪原のほこら,雪原のほこら
70,ハーゴンの神殿2階,ハーゴンの神殿2階
71,ドワーフの洞窟の地下1階,ドワーフの洞窟の地下1階
72,ドワーフの洞窟の地下4階,ドワーフの洞窟の地下4階
73,海底宝物庫・北海,海底宝物庫・北海
74,海底宝物庫・西海,海底宝物庫・西海
75,無限の回廊8エリア,無限の回廊8エリア
76,無限の回廊12エリア,無限の回廊12エリア
77,無限の回廊20エリア,無限の回廊20エリア
78,無限の回廊23エリア,無限の回廊23エリア
79,ゼニスの城,ゼニスの城
80,謎の塔の4階,謎の塔の4階
